label,Soilcolor,Ph,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,GWETTOP,CLOUD_AMT,PS,T2M_AVG-W,T2M_AVG-Sp,T2M_AVG-Su,T2M_AVG-Au,Ph_diff
Cây Dagussa,Khác,5.3,8.566666667,9.663333333,12.73666667,11.78,13.43333333,56.6,199.2,74.2,0.8,59.11,78.58,16.255,20.20333334,17.41166667,15.97333334,1.7
Cây Dagussa,Nâu,6.3,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,0.7
Cây Dagussa,Đen,5.5,8.343333333,9.276666667,12.83666667,11.43333333,8.73333333,40.13333333,150.6,43.6,0.7,48.62,79.61,18.42333333,21.705,19.25166667,17.565,1.5
Cây Dagussa,Đỏ,5.85,8.566666667,9.663333333,12.73666667,11.78,13.43333333,56.6,199.2,74.2,0.8,59.11,78.58,16.255,20.20333334,17.41166667,15.97333334,1.15
Cây Teff,Khác,7,8.506666667,9.34,12.16666667,10.92666667,17.36666667,52.03333333,178.1666667,58.23333333,0.77,59.11,77.29,15.69833333,19.11166667,17.135,15.285,0
Cây Teff,Nâu,7,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0
Cây Teff,Nâu vàng,6.62,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.38
Cây Teff,Nâu xám,7.35,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.35
Cây Teff,Nâu xám (gb),6.6,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.4
Cây Teff,Nâu xám đậm,6.23,8.383333333,9.543333333,13.49,12.63666667,4.13333333,44.1,166.2,54.3,0.7,48.62,81.38,18.85333333,23.14166667,19.66333334,18.245,0.77
Cây Teff,Nâu đậm,6.78,7.73,9.563333333,13.85333333,12.8,3.8,28.5,146.8666667,33.16666667,0.65,53.49,82.67,21.10833334,24.63666667,20.65833334,20.07666667,0.22
Cây Teff,Nâu đậm rất tối,7.06,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.06
Cây Teff,Nâu đỏ,7.37,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.37
Cây Teff,Nâu đỏ đậm,7.03,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.03
Cây Teff,Xám,7.1,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.1
Cây Teff,Xám rất tối,6.44,8.383333333,9.543333333,13.49,12.63666667,4.13333333,44.1,166.2,54.3,0.7,48.62,81.38,18.85333333,23.14166667,19.66333334,18.245,0.56
Cây Teff,Xám đậm,7.08,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.08
Cây Teff,Đen,7,8.016666667,8.503333333,12.59333333,10.98666667,7.5,23.7,83.5,21.56666667,0.62,57.49,81.4,19.75333333,22.95166667,20.35166667,18.51833334,0
Cây Teff,Đỏ,6.9,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,0.1
Cây Teff,Đỏ nâu,5.36,8.343333333,9.276666667,12.83666667,11.43333333,8.73333333,40.13333333,150.6,43.6,0.7,48.62,79.61,18.42333333,21.705,19.25166667,17.565,1.64
Cây sorghum,Khác,5.8,7.586666667,8.136666667,11.43,10.15,9.1,22.66666667,117.6666667,29.6,0.63,59.11,77.15,16.92,20.17666667,18.09333334,16.38,1.2
Cây sorghum,Nâu,6.95,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.05
Cây sorghum,Nâu đậm,7.85,8.016666667,8.503333333,12.59333333,10.98666667,7.5,23.7,83.5,21.56666667,0.62,57.49,81.4,19.75333333,22.95166667,20.35166667,18.51833334,0.85
Cây sorghum,Nâu đỏ đậm,6.26,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.74
Cây sorghum,Xám,6.8,7.586666667,8.136666667,11.43,10.15,9.1,22.66666667,117.6666667,29.6,0.63,59.11,77.15,16.92,20.17666667,18.09333334,16.38,0.2
Cây sorghum,Xám rất tối,8.18,8.016666667,8.503333333,12.59333333,10.98666667,7.5,23.7,83.5,21.56666667,0.62,57.49,81.4,19.75333333,22.95166667,20.35166667,18.51833334,1.18
Cây sorghum,Xám đậm,6.74,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.26
Cây sorghum,Đen,7.2,9.723333333,10.70333333,13.77333333,12.65666667,27.8,54.03333333,193.6333333,69.8,0.73,59.11,82.6,18.41166667,22.735,19.865,18.24166667,0.2
Cây sorghum,Đỏ,7.1,8.566666667,9.663333333,12.73666667,11.78,13.43333333,56.6,199.2,74.2,0.8,59.11,78.58,16.255,20.20333334,17.41166667,15.97333334,0.1
Hạt cây niger,Khác,5.7,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,1.3
Hạt cây niger,Nâu,6.3,7.586666667,8.136666667,11.43,10.15,9.1,22.66666667,117.6666667,29.6,0.63,59.11,77.15,16.92,20.17666667,18.09333334,16.38,0.7
Hạt cây niger,Nâu xám đậm,5.89,8.016666667,8.503333333,12.59333333,10.98666667,7.5,23.7,83.5,21.56666667,0.62,57.49,81.4,19.75333333,22.95166667,20.35166667,18.51833334,1.11
Hạt cây niger,Nâu đậm,7.42,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.42
Hạt cây niger,Nâu đỏ,6.99,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.01
Hạt cây niger,Đen,6.9,9.723333333,10.70333333,13.77333333,12.65666667,27.8,54.03333333,193.6333333,69.8,0.73,59.11,82.6,18.41166667,22.735,19.865,18.24166667,0.1
Hạt cây niger,Đỏ,5.9,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,1.1
Khoai tây,Khác,5.3,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,1.7
Khoai tây,Nâu,6.37,8.506666667,9.34,12.16666667,10.92666667,17.36666667,52.03333333,178.1666667,58.23333333,0.77,59.11,77.29,15.69833333,19.11166667,17.135,15.285,0.63
Khoai tây,Xám,5.8,8.506666667,9.34,12.16666667,10.92666667,17.36666667,52.03333333,178.1666667,58.23333333,0.77,59.11,77.29,15.69833333,19.11166667,17.135,15.285,1.2
Khoai tây,Đen,7.02,7.586666667,8.136666667,11.43,10.15,9.1,22.66666667,117.6666667,29.6,0.63,59.11,77.15,16.92,20.17666667,18.09333334,16.38,0.02
Khoai tây,Đỏ,6.9,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.1
Lúa mì,Khác,7.1,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.1
Lúa mì,"Không xác định màu, Luvisols",5.38,9.723333333,10.70333333,13.77333333,12.65666667,27.8,54.03333333,193.6333333,69.8,0.73,59.11,82.6,18.41166667,22.735,19.865,18.24166667,1.62
Lúa mì,Nâu,6.95,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.05
Lúa mì,Nâu nhạt,5.97,7.183333333,7.65,10.47666667,9.07,20.73333333,26.13333333,48.36666667,36.3,0.65,0.46,74.17,12.19166667,15.21666667,16.04166667,12.29833334,1.03
Lúa mì,Nâu vàng,5.97,7.65,7.773333333,10.98666667,9.726666667,11.7,22.43333333,75.2,28.8,0.69,53.45,75.83,6.221666667,16.05333334,19.11166667,14.755,1.03
Lúa mì,Nâu đậm,6.35,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,0.65
Lúa mì,Nâu đỏ,6.86,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.14
Lúa mì,Nâu đỏ đậm,6.45,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.55
Lúa mì,Nâu đỏ; Ẩm,5.35,9.723333333,10.70333333,13.77333333,12.65666667,27.8,54.03333333,193.6333333,69.8,0.73,59.11,82.6,18.41166667,22.735,19.865,18.24166667,1.65
Lúa mì,Xám,6.91,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.09
Lúa mì,Đen,6.95,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.05
Lúa mì,Đỏ,6.8,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.2
Lúa mì,Đỏ đậm,5.59,7.65,7.773333333,10.98666667,9.726666667,11.7,22.43333333,75.2,28.8,0.69,53.45,75.83,6.221666667,16.05333334,19.11166667,14.755,1.41
Lúa mì,Đỏ; Luvisols,5.67,9.723333333,10.70333333,13.77333333,12.65666667,27.8,54.03333333,193.6333333,69.8,0.73,59.11,82.6,18.41166667,22.735,19.865,18.24166667,1.33
Lúa mạch,Khác,7.1,7.586666667,8.136666667,11.43,10.15,9.1,22.66666667,117.6666667,29.6,0.63,59.11,77.15,16.92,20.17666667,18.09333334,16.38,0.1
Lúa mạch,Nâu,6.98,8.506666667,9.34,12.16666667,10.92666667,17.36666667,52.03333333,178.1666667,58.23333333,0.77,59.11,77.29,15.69833333,19.11166667,17.135,15.285,0.02
Lúa mạch,Nâu vàng,5.81,7.993333333,10.45666667,11.96333333,9.683333333,20.73333333,52.7,123.0333333,52.7,0.73,56.57,77.03,16.12166667,19.20833334,16.73833334,13.98333333,1.19
Lúa mạch,Nâu xám,5.8,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,1.2
Lúa mạch,Nâu đậm,6,7.65,7.773333333,10.98666667,9.726666667,11.7,22.43333333,75.2,28.8,0.69,53.45,75.83,6.221666667,16.05333334,19.11166667,14.755,1
Lúa mạch,Nâu đậm rất tối,6.98,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.02
Lúa mạch,Nâu đỏ,6.21,7.65,7.773333333,10.98666667,9.726666667,11.7,22.43333333,75.2,28.8,0.69,53.45,75.83,6.221666667,16.05333334,19.11166667,14.755,0.79
Lúa mạch,Nâu đỏ đậm,6.3,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.7
Lúa mạch,Xám,6.75,7.65,7.773333333,10.98666667,9.726666667,11.7,22.43333333,75.2,28.8,0.69,53.45,75.83,6.221666667,16.05333334,19.11166667,14.755,0.25
Lúa mạch,Xám đỏ,5.59,7.183333333,7.65,10.47666667,9.07,20.73333333,26.13333333,48.36666667,36.3,0.65,0.46,74.17,12.19166667,15.21666667,16.04166667,12.29833334,1.41
Lúa mạch,Đen,7,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,0
Lúa mạch,Đỏ,6.4,8.506666667,9.34,12.16666667,10.92666667,17.36666667,52.03333333,178.1666667,58.23333333,0.77,59.11,77.29,15.69833333,19.11166667,17.135,15.285,0.6
Lúa mạch,Đỏ nâu,5.4,8.506666667,9.34,12.16666667,10.92666667,17.36666667,52.03333333,178.1666667,58.23333333,0.77,59.11,77.29,15.69833333,19.11166667,17.135,15.285,1.6
Ngô,Khác,6.4,8.506666667,9.34,12.16666667,10.92666667,17.36666667,52.03333333,178.1666667,58.23333333,0.77,59.11,77.29,15.69833333,19.11166667,17.135,15.285,0.6
Ngô,Nâu,7,8.016666667,8.503333333,12.59333333,10.98666667,7.5,23.7,83.5,21.56666667,0.62,57.49,81.4,19.75333333,22.95166667,20.35166667,18.51833334,0
Ngô,Nâu ngọc trai,5.41,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,1.59
Ngô,Nâu đậm,6.67,7.73,9.563333333,13.85333333,12.8,3.8,28.5,146.8666667,33.16666667,0.65,53.49,82.67,21.10833334,24.63666667,20.65833334,20.07666667,0.33
Ngô,Nâu đậm rất tối,6.38,8.343333333,9.276666667,12.83666667,11.43333333,8.73333333,40.13333333,150.6,43.6,0.7,48.62,79.61,18.42333333,21.705,19.25166667,17.565,0.62
Ngô,Nâu đỏ,6.49,8.343333333,9.276666667,12.83666667,11.43333333,8.73333333,40.13333333,150.6,43.6,0.7,48.62,79.61,18.42333333,21.705,19.25166667,17.565,0.51
Ngô,Nâu đỏ nhạt,6.13,8.343333333,9.276666667,12.83666667,11.43333333,8.73333333,40.13333333,150.6,43.6,0.7,48.62,79.61,18.42333333,21.705,19.25166667,17.565,0.87
Ngô,Xám,7.2,7.753333333,8.156666667,11.82,10.43666667,6.8,19.4,102.1333333,23.06666667,0.52,54.41,80.44,19.695,22.77166667,20.87833334,19.24166667,0.2
Ngô,Đen,7,8.016666667,8.503333333,12.59333333,10.98666667,7.5,23.7,83.5,21.56666667,0.62,57.49,81.4,19.75333333,22.95166667,20.35166667,18.51833334,0
Ngô,Đen; Vertisol,6.74,9.723333333,10.70333333,13.77333333,12.65666667,27.8,54.03333333,193.6333333,69.8,0.73,59.11,82.6,18.41166667,22.735,19.865,18.24166667,0.26
Ngô,Đỏ,6.9,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,0.1
Đậu,Khác,6.95,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.05
Đậu,Nâu,6.95,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.05
Đậu,Nâu đậm,6.22,7.65,7.773333333,10.98666667,9.726666667,11.7,22.43333333,75.2,28.8,0.69,53.45,75.83,6.221666667,16.05333334,19.11166667,14.755,0.78
Đậu,Nâu đỏ,5.81,8.343333333,9.276666667,12.83666667,11.43333333,8.73333333,40.13333333,150.6,43.6,0.7,48.62,79.61,18.42333333,21.705,19.25166667,17.565,1.19
Đậu,Xám,7.1,7.586666667,8.136666667,11.43,10.15,9.1,22.66666667,117.6666667,29.6,0.63,59.11,77.15,16.92,20.17666667,18.09333334,16.38,0.1
Đậu,Đen,7,8.016666667,8.503333333,12.59333333,10.98666667,7.5,23.7,83.5,21.56666667,0.62,57.49,81.4,19.75333333,22.95166667,20.35166667,18.51833334,0
Đậu,Đỏ,7,9.723333333,10.70333333,13.77333333,12.65666667,27.8,54.03333333,193.6333333,69.8,0.73,59.11,82.6,18.41166667,22.735,19.865,18.24166667,0
Đậu,Đỏ nhạt,7.13,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.13
Đậu Hà Lan,Khác,6.5,8.506666667,9.34,12.16666667,10.92666667,17.36666667,52.03333333,178.1666667,58.23333333,0.77,59.11,77.29,15.69833333,19.11166667,17.135,15.285,0.5
Đậu Hà Lan,Nâu,7.1,8.343333333,9.276666667,12.83666667,11.43333333,8.73333333,40.13333333,150.6,43.6,0.7,48.62,79.61,18.42333333,21.705,19.25166667,17.565,0.1
Đậu Hà Lan,Nâu đỏ đậm,7.09,7.933333333,8.403333333,11.41333333,10.15,17.63333333,32.46666667,130.1333333,34.63333333,0.74,59.11,76.54,15.55166667,19.155,17.06,15.01333334,0.09
Đậu Hà Lan,Xám,6.1,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,0.9
Đậu Hà Lan,Đen,7,8.343333333,9.276666667,12.83666667,11.43333333,8.73333333,40.13333333,150.6,43.6,0.7,48.62,79.61,18.42333333,21.705,19.25166667,17.565,0
Đậu Hà Lan,Đỏ,6.34,7.73,9.563333333,13.85333333,12.8,3.8,28.5,146.8666667,33.16666667,0.65,53.49,82.67,21.10833334,24.63666667,20.65833334,20.07666667,0.66
Ớt đỏ,Khác,5.5,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,1.5
Ớt đỏ,Nâu,7.55,9.723333333,10.70333333,13.77333333,12.65666667,27.8,54.03333333,193.6333333,69.8,0.73,59.11,82.6,18.41166667,22.735,19.865,18.24166667,0.55
Ớt đỏ,Xám,5.8,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,1.2
Ớt đỏ,Đen,6.7,9.723333333,10.70333333,13.77333333,12.65666667,27.8,54.03333333,193.6333333,69.8,0.73,59.11,82.6,18.41166667,22.735,19.865,18.24166667,0.3
Ớt đỏ,Đỏ,6,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,1
Ớt đỏ,Đỏ; Luvisols,5.1,8.91,9.48,12.24666667,11.10666667,22.93333333,46.1,174.4666667,58.03333333,0.73,59.11,78.25,15.48333334,19.505,17.39833334,15.53,1.9
